lat,lon,ta_avg,td_avg,hm_avg,geometry
37.559475,127.102676,12.6,5.8,66.0,POINT (127.102676 37.559475)
37.564095,127.102756,12.6,5.8,65.0,POINT (127.102756 37.564095)
37.568714,127.102836,12.7,5.7,65.0,POINT (127.102836 37.568714)
37.573334,127.102916,12.7,5.6,65.0,POINT (127.102916 37.573334)
37.577953,127.102996,12.7,5.6,65.0,POINT (127.102996 37.577953)
37.582573,127.103076,12.6,5.8,65.0,POINT (127.103076 37.582573)
37.619532,127.103716,13.7,6.5,65.0,POINT (127.103716 37.619532)
37.624153,127.103797,13.5,6.9,67.0,POINT (127.103797 37.624153)
37.628773,127.103877,13.5,6.8,67.0,POINT (127.103877 37.628773)
37.559411,127.108479,13.0,6.6,68.0,POINT (127.108479 37.559411)
37.564031,127.10856,12.7,6.0,67.0,POINT (127.10856 37.564031)
37.56865,127.10864,12.6,5.7,65.0,POINT (127.10864 37.56865)
37.57327,127.10872,12.5,5.8,65.0,POINT (127.10872 37.57327)
37.57789,127.108801,12.5,5.8,65.0,POINT (127.108801 37.57789)
37.582509,127.108881,12.6,5.8,65.0,POINT (127.108881 37.582509)
37.587129,127.108962,12.6,5.7,65.0,POINT (127.108962 37.587129)
37.619469,127.109525,13.4,7.1,69.0,POINT (127.109525 37.619469)
37.624089,127.109605,13.2,7.0,70.0,POINT (127.109605 37.624089)
37.628709,127.109686,13.4,7.0,69.0,POINT (127.109686 37.628709)
37.633329,127.109766,13.5,6.6,66.0,POINT (127.109766 37.633329)
37.637949,127.109847,13.5,6.7,67.0,POINT (127.109847 37.637949)
37.64257,127.109927,13.4,6.8,68.0,POINT (127.109927 37.64257)
37.554728,127.114201,13.7,5.9,62.0,POINT (127.114201 37.554728)
37.559347,127.114282,13.9,6.5,64.0,POINT (127.114282 37.559347)
37.563967,127.114363,14.0,7.0,66.0,POINT (127.114363 37.563967)
37.568586,127.114444,13.8,7.3,69.0,POINT (127.114444 37.568586)
37.573206,127.114524,13.3,7.1,70.0,POINT (127.114524 37.573206)
37.577825,127.114605,12.9,6.6,69.0,POINT (127.114605 37.577825)
37.582445,127.114686,12.5,5.8,66.0,POINT (127.114686 37.582445)
37.587065,127.114767,12.5,5.8,66.0,POINT (127.114767 37.587065)
37.591685,127.114848,12.6,5.8,65.0,POINT (127.114848 37.591685)
37.596305,127.114929,12.6,5.8,65.0,POINT (127.114929 37.596305)
37.600924,127.115009,12.5,5.9,66.0,POINT (127.115009 37.600924)
37.610164,127.115171,13.2,7.0,70.0,POINT (127.115171 37.610164)
37.614784,127.115252,13.2,7.0,70.0,POINT (127.115252 37.614784)
37.619404,127.115333,12.8,6.7,69.0,POINT (127.115333 37.619404)
37.624025,127.115414,12.8,6.6,69.0,POINT (127.115414 37.624025)
37.628645,127.115495,13.3,7.1,70.0,POINT (127.115495 37.628645)
37.633265,127.115576,13.5,6.7,67.0,POINT (127.115576 37.633265)
37.637885,127.115657,13.5,6.6,66.0,POINT (127.115657 37.637885)
37.642505,127.115738,13.4,6.5,67.0,POINT (127.115738 37.642505)
37.559283,127.120085,13.5,6.0,64.0,POINT (127.120085 37.559283)
