lat,lon,ta_avg,td_avg,hm_avg,geometry,ASR,DSR,RSR,Tnwb,Tg,WBGT
37.553363,126.765984,12.9,7.6,72.0,POINT (126.765984 37.553363),266.83273,315.00388,232.22885,9.87422724340667,13.254966968297959,10.852952464044261
37.557983,126.766039,12.9,7.6,72.0,POINT (126.766039 37.557983),266.83273,315.00388,232.22885,9.87422724340667,13.254966968297959,10.852952464044261
37.548699,126.771731,13.0,7.6,72.0,POINT (126.771731 37.548699),266.83273,315.00388,232.22885,9.967988079637548,13.354966968297958,10.948585049405876
37.553319,126.771786,13.0,7.6,72.0,POINT (126.771786 37.553319),266.83273,315.00388,232.22885,9.967988079637548,13.354966968297958,10.948585049405876
37.557938,126.771842,13.0,7.6,72.0,POINT (126.771842 37.557938),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.567178,126.771954,13.0,7.6,72.0,POINT (126.771954 37.567178),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.548654,126.777533,13.0,7.6,72.0,POINT (126.777533 37.548654),266.83273,315.00388,232.22885,9.967988079637548,13.354966968297958,10.948585049405876
37.553274,126.777589,13.0,7.6,72.0,POINT (126.777589 37.553274),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.557894,126.777645,13.0,7.6,72.0,POINT (126.777645 37.557894),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.562513,126.777702,13.0,7.6,72.0,POINT (126.777702 37.562513),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.567133,126.777758,13.0,7.6,72.0,POINT (126.777758 37.567133),268.81155,319.0789,227.63275,9.967988079637548,13.357255578041077,10.949042771354499
37.54399,126.783278,13.0,7.6,72.0,POINT (126.783278 37.54399),266.83273,315.00388,232.22885,9.967988079637548,13.354966968297958,10.948585049405876
