lat,lon,ta_avg,td_avg,hm_avg,geometry
36.705234,127.128167,12.7,7.3,73.0,POINT (127.128167 36.705234)
36.709844,127.128248,12.8,7.3,73.0,POINT (127.128248 36.709844)
36.705169,127.133893,12.8,7.5,73.0,POINT (127.133893 36.705169)
36.709779,127.133974,12.8,7.4,73.0,POINT (127.133974 36.709779)
36.71439,127.134055,12.7,7.2,73.0,POINT (127.134055 36.71439)
36.691272,127.139375,12.7,7.3,73.0,POINT (127.139375 36.691272)
36.695882,127.139456,12.7,7.3,73.0,POINT (127.139456 36.695882)
36.700493,127.139538,12.8,7.4,73.0,POINT (127.139538 36.700493)
36.705103,127.139619,12.8,7.4,73.0,POINT (127.139619 36.705103)
36.709714,127.139701,12.7,7.2,73.0,POINT (127.139701 36.709714)
36.714324,127.139782,12.8,7.2,73.0,POINT (127.139782 36.714324)
36.718935,127.139864,12.9,7.3,73.0,POINT (127.139864 36.718935)
36.691206,127.145099,12.7,7.3,73.0,POINT (127.145099 36.691206)
36.695816,127.145181,12.7,7.3,73.0,POINT (127.145181 36.695816)
36.700427,127.145263,12.7,7.3,73.0,POINT (127.145263 36.700427)
36.705037,127.145345,12.7,7.2,73.0,POINT (127.145345 36.705037)
36.709648,127.145427,12.9,7.3,73.0,POINT (127.145427 36.709648)
36.714258,127.145509,13.0,7.5,73.0,POINT (127.145509 36.714258)
36.718869,127.145591,13.0,7.4,73.0,POINT (127.145591 36.718869)
36.72348,127.145673,13.0,7.4,73.0,POINT (127.145673 36.72348)
36.617381,127.149509,12.8,7.8,74.0,POINT (127.149509 36.617381)
36.62199,127.149591,12.7,7.2,72.0,POINT (127.149591 36.62199)
36.69114,127.150824,12.7,7.2,73.0,POINT (127.150824 36.69114)
36.69575,127.150906,12.7,7.2,73.0,POINT (127.150906 36.69575)
36.700361,127.150989,12.8,7.2,73.0,POINT (127.150989 36.700361)
36.704971,127.151071,12.9,7.4,73.0,POINT (127.151071 36.704971)
36.709582,127.151153,13.0,7.5,73.0,POINT (127.151153 36.709582)
36.714192,127.151236,13.1,7.5,73.0,POINT (127.151236 36.714192)
36.718803,127.151318,13.1,7.5,73.0,POINT (127.151318 36.718803)
36.723414,127.151401,13.1,7.6,72.0,POINT (127.151401 36.723414)
36.728024,127.151483,13.2,7.6,72.0,POINT (127.151483 36.728024)
36.608095,127.155062,12.8,8.0,75.0,POINT (127.155062 36.608095)
36.612705,127.155145,12.9,7.9,75.0,POINT (127.155145 36.612705)
36.617314,127.155227,12.8,7.7,74.0,POINT (127.155227 36.617314)
36.621924,127.15531,12.8,7.2,72.0,POINT (127.15531 36.621924)
36.626534,127.155392,12.5,7.0,72.0,POINT (127.155392 36.626534)
36.631143,127.155475,12.6,7.1,72.0,POINT (127.155475 36.631143)
36.635753,127.155557,12.8,7.3,72.0,POINT (127.155557 36.635753)
36.640363,127.15564,12.8,7.3,72.0,POINT (127.15564 36.640363)
36.644973,127.155722,12.8,7.3,72.0,POINT (127.155722 36.644973)
36.649582,127.155805,12.8,7.4,72.0,POINT (127.155805 36.649582)
36.654192,127.155888,12.9,7.5,73.0,POINT (127.155888 36.654192)
36.663412,127.156053,12.9,7.7,74.0,POINT (127.156053 36.663412)
36.668022,127.156135,12.8,7.6,74.0,POINT (127.156135 36.668022)
36.672632,127.156218,12.8,7.4,73.0,POINT (127.156218 36.672632)
36.691073,127.156549,12.8,7.3,73.0,POINT (127.156549 36.691073)
36.695684,127.156632,12.8,7.3,73.0,POINT (127.156632 36.695684)
36.700294,127.156714,12.7,7.2,73.0,POINT (127.156714 36.700294)
36.704905,127.156797,12.7,7.2,73.0,POINT (127.156797 36.704905)
36.709515,127.15688,12.7,7.2,73.0,POINT (127.15688 36.709515)
36.714126,127.156963,12.8,7.2,73.0,POINT (127.156963 36.714126)
36.718736,127.157045,12.9,7.4,73.0,POINT (127.157045 36.718736)
36.723347,127.157128,13.1,7.6,73.0,POINT (127.157128 36.723347)
36.727958,127.157211,13.2,7.6,72.0,POINT (127.157211 36.727958)
36.732569,127.157294,13.2,7.6,72.0,POINT (127.157294 36.732569)
36.603419,127.160697,12.9,7.9,75.0,POINT (127.160697 36.603419)
36.608029,127.160779,12.8,7.8,74.0,POINT (127.160779 36.608029)
36.612638,127.160862,12.8,8.0,75.0,POINT (127.160862 36.612638)
36.617248,127.160945,12.9,7.8,74.0,POINT (127.160945 36.617248)
36.621857,127.161028,12.8,7.3,72.0,POINT (127.161028 36.621857)
36.626467,127.161111,12.8,7.2,72.0,POINT (127.161111 36.626467)
36.631077,127.161194,12.8,7.3,72.0,POINT (127.161194 36.631077)
36.635686,127.161277,12.9,7.6,73.0,POINT (127.161277 36.635686)
36.640296,127.16136,12.9,7.7,74.0,POINT (127.16136 36.640296)
36.644906,127.161443,12.9,7.8,74.0,POINT (127.161443 36.644906)
36.649516,127.161526,12.9,7.8,74.0,POINT (127.161526 36.649516)
36.654126,127.161609,12.9,7.8,74.0,POINT (127.161609 36.654126)
36.658736,127.161692,12.9,7.8,74.0,POINT (127.161692 36.658736)
36.663346,127.161775,12.9,7.7,74.0,POINT (127.161775 36.663346)
36.667956,127.161858,12.8,7.5,73.0,POINT (127.161858 36.667956)
36.672566,127.161941,12.8,7.4,73.0,POINT (127.161941 36.672566)
36.677176,127.162024,12.8,7.3,73.0,POINT (127.162024 36.677176)
36.681786,127.162107,12.7,7.3,73.0,POINT (127.162107 36.681786)
36.686396,127.16219,12.7,7.2,73.0,POINT (127.16219 36.686396)
36.691007,127.162274,12.8,7.3,73.0,POINT (127.162274 36.691007)
36.695617,127.162357,12.8,7.3,73.0,POINT (127.162357 36.695617)
36.700227,127.16244,12.7,7.2,73.0,POINT (127.16244 36.700227)
36.704838,127.162523,12.7,7.2,73.0,POINT (127.162523 36.704838)
36.709448,127.162606,12.7,7.3,73.0,POINT (127.162606 36.709448)
36.714059,127.162689,12.7,7.2,73.0,POINT (127.162689 36.714059)
36.71867,127.162772,12.7,7.2,73.0,POINT (127.162772 36.71867)
36.72328,127.162856,13.0,7.4,73.0,POINT (127.162856 36.72328)
36.727891,127.162939,13.2,7.6,73.0,POINT (127.162939 36.727891)
36.732502,127.163022,13.2,7.5,72.0,POINT (127.163022 36.732502)
36.603352,127.166413,12.9,7.8,74.0,POINT (127.166413 36.603352)
36.607962,127.166497,12.9,7.8,74.0,POINT (127.166497 36.607962)
36.612571,127.16658,12.9,7.8,74.0,POINT (127.16658 36.612571)
36.617181,127.166663,12.9,7.9,75.0,POINT (127.166663 36.617181)
36.62179,127.166747,12.9,7.8,74.0,POINT (127.166747 36.62179)
36.6264,127.16683,12.8,7.7,74.0,POINT (127.16683 36.6264)
36.63101,127.166913,12.9,7.8,74.0,POINT (127.166913 36.63101)
36.635619,127.166997,12.9,7.8,74.0,POINT (127.166997 36.635619)
36.640229,127.16708,12.9,7.7,74.0,POINT (127.16708 36.640229)
36.644839,127.167164,12.9,7.7,74.0,POINT (127.167164 36.644839)
