lat,lon,ta_avg,td_avg,hm_avg,geometry
37.219579,127.327754,12.8,6.7,69.0,POINT (127.327754 37.219579)
37.242659,127.328233,12.7,6.6,69.0,POINT (127.328233 37.242659)
37.219503,127.333526,12.7,6.7,68.0,POINT (127.333526 37.219503)
37.224118,127.333622,12.8,6.7,69.0,POINT (127.333622 37.224118)
37.228734,127.333718,12.7,6.7,68.0,POINT (127.333718 37.228734)
37.23335,127.333814,12.7,6.7,68.0,POINT (127.333814 37.23335)
37.237966,127.333911,12.8,6.6,69.0,POINT (127.333911 37.237966)
37.242582,127.334007,12.8,6.6,69.0,POINT (127.334007 37.242582)
37.247198,127.334103,12.6,6.5,70.0,POINT (127.334103 37.247198)
37.251815,127.334199,12.4,6.4,70.0,POINT (127.334199 37.251815)
37.256431,127.334296,12.2,6.3,70.0,POINT (127.334296 37.256431)
37.261047,127.334392,12.5,6.4,69.0,POINT (127.334392 37.261047)
37.210194,127.339105,12.8,6.7,68.0,POINT (127.339105 37.210194)
37.21481,127.339201,12.8,6.6,68.0,POINT (127.339201 37.21481)
37.219425,127.339298,12.8,6.7,69.0,POINT (127.339298 37.219425)
37.224041,127.339394,12.8,6.7,69.0,POINT (127.339394 37.224041)
37.228657,127.339491,12.8,6.7,68.0,POINT (127.339491 37.228657)
37.233273,127.339587,12.8,6.6,68.0,POINT (127.339587 37.233273)
37.237889,127.339684,12.8,6.6,69.0,POINT (127.339684 37.237889)
37.242505,127.339781,12.6,6.6,70.0,POINT (127.339781 37.242505)
37.247121,127.339877,12.3,6.4,70.0,POINT (127.339877 37.247121)
37.251737,127.339974,12.1,6.4,70.0,POINT (127.339974 37.251737)
37.256354,127.340071,11.9,6.3,70.0,POINT (127.340071 37.256354)
37.26097,127.340167,12.5,6.4,69.0,POINT (127.340167 37.26097)
37.265586,127.340264,12.7,6.5,69.0,POINT (127.340264 37.265586)
37.270203,127.340361,12.7,6.5,69.0,POINT (127.340361 37.270203)
37.274819,127.340457,12.6,6.4,69.0,POINT (127.340457 37.274819)
37.284052,127.340651,12.7,6.4,69.0,POINT (127.340651 37.284052)
37.288668,127.340748,12.7,6.4,68.0,POINT (127.340748 37.288668)
37.205501,127.344779,12.8,6.7,69.0,POINT (127.344779 37.205501)
37.210116,127.344875,12.8,6.6,68.0,POINT (127.344875 37.210116)
37.214732,127.344972,12.8,6.7,68.0,POINT (127.344972 37.214732)
37.219348,127.345069,12.8,6.6,69.0,POINT (127.345069 37.219348)
37.223964,127.345166,12.8,6.6,69.0,POINT (127.345166 37.223964)
37.22858,127.345263,12.7,6.7,68.0,POINT (127.345263 37.22858)
37.233196,127.34536,12.7,6.7,68.0,POINT (127.34536 37.233196)
37.237812,127.345457,12.8,6.6,69.0,POINT (127.345457 37.237812)
37.242428,127.345554,12.6,6.5,70.0,POINT (127.345554 37.242428)
37.247044,127.345652,12.0,6.4,70.0,POINT (127.345652 37.247044)
37.25166,127.345749,11.7,6.3,71.0,POINT (127.345749 37.25166)
37.256276,127.345846,11.6,6.3,71.0,POINT (127.345846 37.256276)
37.260892,127.345943,12.2,6.3,70.0,POINT (127.345943 37.260892)
37.265509,127.34604,12.7,6.5,69.0,POINT (127.34604 37.265509)
37.270125,127.346137,12.6,6.4,69.0,POINT (127.346137 37.270125)
37.274741,127.346234,12.4,6.3,69.0,POINT (127.346234 37.274741)
37.279358,127.346331,12.3,6.3,69.0,POINT (127.346331 37.279358)
37.283974,127.346429,12.5,6.3,69.0,POINT (127.346429 37.283974)
37.288591,127.346526,12.7,6.4,68.0,POINT (127.346526 37.288591)
37.293207,127.346623,12.7,6.4,68.0,POINT (127.346623 37.293207)
37.205423,127.350549,12.8,6.7,69.0,POINT (127.350549 37.205423)
37.210039,127.350646,12.8,6.7,69.0,POINT (127.350646 37.210039)
37.214655,127.350744,12.8,6.7,69.0,POINT (127.350744 37.214655)
37.21927,127.350841,12.8,6.7,69.0,POINT (127.350841 37.21927)
37.223886,127.350939,12.8,6.7,69.0,POINT (127.350939 37.223886)
37.228502,127.351036,12.7,6.6,68.0,POINT (127.351036 37.228502)
37.233118,127.351133,12.7,6.6,68.0,POINT (127.351133 37.233118)
37.237734,127.351231,12.8,6.6,68.0,POINT (127.351231 37.237734)
37.24235,127.351328,12.7,6.6,69.0,POINT (127.351328 37.24235)
37.246966,127.351426,12.1,6.4,70.0,POINT (127.351426 37.246966)
37.251582,127.351523,11.5,6.3,71.0,POINT (127.351523 37.251582)
37.256198,127.351621,12.0,6.3,70.0,POINT (127.351621 37.256198)
37.260815,127.351718,11.6,6.3,70.0,POINT (127.351718 37.260815)
37.265431,127.351816,12.1,6.3,70.0,POINT (127.351816 37.265431)
37.270047,127.351913,12.1,6.3,70.0,POINT (127.351913 37.270047)
37.274664,127.352011,11.9,6.3,70.0,POINT (127.352011 37.274664)
37.27928,127.352108,12.0,6.3,70.0,POINT (127.352108 37.27928)
37.283897,127.352206,12.5,6.3,69.0,POINT (127.352206 37.283897)
37.288513,127.352304,12.7,6.4,68.0,POINT (127.352304 37.288513)
37.29313,127.352401,12.7,6.4,68.0,POINT (127.352401 37.29313)
37.302363,127.352597,12.6,6.3,67.0,POINT (127.352597 37.302363)
37.200729,127.356222,12.8,6.7,70.0,POINT (127.356222 37.200729)
37.205345,127.356319,12.8,6.7,70.0,POINT (127.356319 37.205345)
37.209961,127.356417,12.7,6.7,70.0,POINT (127.356417 37.209961)
37.214576,127.356515,12.3,6.6,71.0,POINT (127.356515 37.214576)
37.219192,127.356613,12.7,6.7,70.0,POINT (127.356613 37.219192)
37.223808,127.356711,12.8,6.6,69.0,POINT (127.356711 37.223808)
37.228424,127.356809,12.8,6.6,68.0,POINT (127.356809 37.228424)
37.23304,127.356906,12.8,6.6,69.0,POINT (127.356906 37.23304)
37.237656,127.357004,12.8,6.6,69.0,POINT (127.357004 37.237656)
37.242272,127.357102,12.5,6.5,70.0,POINT (127.357102 37.242272)
37.246888,127.3572,11.8,6.4,71.0,POINT (127.3572 37.246888)
37.251504,127.357298,11.8,6.4,71.0,POINT (127.357298 37.251504)
37.25612,127.357396,12.2,6.4,70.0,POINT (127.357396 37.25612)
37.260737,127.357494,11.9,6.3,70.0,POINT (127.357494 37.260737)
37.265353,127.357592,11.6,6.3,70.0,POINT (127.357592 37.265353)
37.269969,127.35769,11.7,6.3,70.0,POINT (127.35769 37.269969)
37.274586,127.357788,11.7,6.3,70.0,POINT (127.357788 37.274586)
37.279202,127.357886,12.0,6.3,70.0,POINT (127.357886 37.279202)
37.283818,127.357984,12.7,6.4,69.0,POINT (127.357984 37.283818)
37.288435,127.358082,12.7,6.4,68.0,POINT (127.358082 37.288435)
37.293051,127.35818,12.7,6.4,68.0,POINT (127.35818 37.293051)
37.297668,127.358278,12.7,6.4,68.0,POINT (127.358278 37.297668)
37.302285,127.358376,12.7,6.4,68.0,POINT (127.358376 37.302285)
37.306901,127.358474,12.7,6.3,68.0,POINT (127.358474 37.306901)
37.200651,127.361992,12.5,6.7,71.0,POINT (127.361992 37.200651)
37.205267,127.36209,12.7,6.7,70.0,POINT (127.36209 37.205267)
37.209882,127.362188,12.7,6.7,70.0,POINT (127.362188 37.209882)
37.214498,127.362286,12.3,6.6,71.0,POINT (127.362286 37.214498)
37.219114,127.362385,12.1,6.6,71.0,POINT (127.362385 37.219114)
37.22373,127.362483,12.4,6.6,71.0,POINT (127.362483 37.22373)
37.228346,127.362581,12.5,6.6,70.0,POINT (127.362581 37.228346)
37.232962,127.362679,12.3,6.6,71.0,POINT (127.362679 37.232962)
37.237578,127.362778,11.9,6.4,71.0,POINT (127.362778 37.237578)
37.242194,127.362876,11.7,6.4,71.0,POINT (127.362876 37.242194)
37.24681,127.362974,12.0,6.4,71.0,POINT (127.362974 37.24681)
37.251426,127.363073,11.9,6.4,71.0,POINT (127.363073 37.251426)
37.256042,127.363171,11.5,6.3,71.0,POINT (127.363171 37.256042)
37.260658,127.363269,11.6,6.3,71.0,POINT (127.363269 37.260658)
37.265274,127.363368,11.7,6.3,70.0,POINT (127.363368 37.265274)
37.269891,127.363466,11.8,6.3,70.0,POINT (127.363466 37.269891)
37.274507,127.363564,12.0,6.3,70.0,POINT (127.363564 37.274507)
37.279123,127.363663,12.5,6.4,69.0,POINT (127.363663 37.279123)
37.28374,127.363761,12.7,6.4,68.0,POINT (127.363761 37.28374)
37.288356,127.36386,12.7,6.4,68.0,POINT (127.36386 37.288356)
37.292973,127.363958,12.7,6.4,68.0,POINT (127.363958 37.292973)
37.29759,127.364057,12.7,6.3,68.0,POINT (127.364057 37.29759)
37.302206,127.364155,12.7,6.3,68.0,POINT (127.364155 37.302206)
37.306823,127.364253,12.7,6.3,68.0,POINT (127.364253 37.306823)
37.31144,127.364352,12.6,6.3,67.0,POINT (127.364352 37.31144)
37.316056,127.36445,12.6,6.1,67.0,POINT (127.36445 37.316056)
37.200572,127.367762,12.6,6.8,71.0,POINT (127.367762 37.200572)
37.205188,127.36786,12.8,6.7,70.0,POINT (127.36786 37.205188)
37.209804,127.367959,12.8,6.7,69.0,POINT (127.367959 37.209804)
37.214419,127.368058,12.6,6.7,70.0,POINT (127.368058 37.214419)
37.219035,127.368156,11.7,6.5,72.0,POINT (127.368156 37.219035)
37.223651,127.368255,12.0,6.5,71.0,POINT (127.368255 37.223651)
37.228267,127.368354,11.9,6.5,71.0,POINT (127.368354 37.228267)
37.232883,127.368452,12.0,6.5,71.0,POINT (127.368452 37.232883)
37.237499,127.368551,12.4,6.5,71.0,POINT (127.368551 37.237499)
37.242115,127.36865,12.5,6.5,70.0,POINT (127.36865 37.242115)
37.246731,127.368748,12.5,6.5,70.0,POINT (127.368748 37.246731)
37.251347,127.368847,11.8,6.4,71.0,POINT (127.368847 37.251347)
37.255963,127.368946,12.0,6.4,70.0,POINT (127.368946 37.255963)
37.260579,127.369045,12.2,6.4,70.0,POINT (127.369045 37.260579)
37.265196,127.369143,12.0,6.4,70.0,POINT (127.369143 37.265196)
37.269812,127.369242,12.1,6.4,70.0,POINT (127.369242 37.269812)
37.274428,127.369341,12.4,6.4,70.0,POINT (127.369341 37.274428)
37.279045,127.36944,12.7,6.4,69.0,POINT (127.36944 37.279045)
37.283661,127.369539,12.7,6.4,68.0,POINT (127.369539 37.283661)
37.288278,127.369638,12.7,6.4,68.0,POINT (127.369638 37.288278)
37.292894,127.369736,12.7,6.3,68.0,POINT (127.369736 37.292894)
37.297511,127.369835,12.5,6.3,69.0,POINT (127.369835 37.297511)
37.302127,127.369934,12.3,6.2,69.0,POINT (127.369934 37.302127)
37.306744,127.370033,12.6,6.3,68.0,POINT (127.370033 37.306744)
37.311361,127.370132,12.7,6.3,68.0,POINT (127.370132 37.311361)
