lat,lon,ta_avg,td_avg,hm_avg,geometry
37.553363,126.765984,12.9,7.6,72.0,POINT (126.765984 37.553363)
37.557983,126.766039,12.9,7.6,72.0,POINT (126.766039 37.557983)
37.548699,126.771731,13.0,7.6,72.0,POINT (126.771731 37.548699)
37.553319,126.771786,13.0,7.6,72.0,POINT (126.771786 37.553319)
37.557938,126.771842,13.0,7.6,72.0,POINT (126.771842 37.557938)
37.567178,126.771954,13.0,7.6,72.0,POINT (126.771954 37.567178)
37.548654,126.777533,13.0,7.6,72.0,POINT (126.777533 37.548654)
37.553274,126.777589,13.0,7.6,72.0,POINT (126.777589 37.553274)
37.557894,126.777645,13.0,7.6,72.0,POINT (126.777645 37.557894)
37.562513,126.777702,13.0,7.6,72.0,POINT (126.777702 37.562513)
37.567133,126.777758,13.0,7.6,72.0,POINT (126.777758 37.567133)
37.54399,126.783278,13.0,7.6,72.0,POINT (126.783278 37.54399)
37.548609,126.783335,13.0,7.6,72.0,POINT (126.783335 37.548609)
37.553229,126.783392,13.0,7.5,72.0,POINT (126.783392 37.553229)
37.557849,126.783448,13.0,7.5,72.0,POINT (126.783448 37.557849)
37.562468,126.783505,13.1,7.6,72.0,POINT (126.783505 37.562468)
37.567088,126.783562,13.1,7.6,72.0,POINT (126.783562 37.567088)
37.571708,126.783619,13.1,7.6,72.0,POINT (126.783619 37.571708)
37.576328,126.783676,13.0,7.5,72.0,POINT (126.783676 37.576328)
37.543944,126.78908,13.1,7.5,71.0,POINT (126.78908 37.543944)
37.548564,126.789137,13.1,7.5,71.0,POINT (126.789137 37.548564)
37.553183,126.789194,13.1,7.5,71.0,POINT (126.789194 37.553183)
37.557803,126.789251,13.1,7.5,71.0,POINT (126.789251 37.557803)
37.562423,126.789309,13.2,7.5,71.0,POINT (126.789309 37.562423)
37.567043,126.789366,13.1,7.5,71.0,POINT (126.789366 37.567043)
37.571662,126.789423,13.1,7.5,72.0,POINT (126.789423 37.571662)
37.576282,126.78948,13.0,7.5,72.0,POINT (126.78948 37.576282)
37.580902,126.789537,13.0,7.5,72.0,POINT (126.789537 37.580902)
