lat,lon,ta_avg,td_avg,hm_avg
36.011266,128.697291,9.9,4.3,71.0
36.015867,128.697481,9.1,3.8,73.0
36.020467,128.697672,8.9,3.6,73.0
36.025068,128.697863,9.0,3.7,73.0
36.029669,128.698054,9.3,3.9,73.0
36.034269,128.698245,10.0,4.3,71.0
36.03887,128.698436,10.8,4.7,69.0
36.011111,128.702953,10.0,4.3,71.0
36.015712,128.703144,9.5,4.0,72.0
36.020312,128.703335,9.4,4.0,73.0
36.024913,128.703527,9.4,4.0,72.0
36.029513,128.703718,9.7,4.1,72.0
36.034114,128.703909,10.3,4.5,70.0
36.038715,128.704101,11.0,4.7,69.0
36.043315,128.704292,11.7,5.4,68.0
36.047916,128.704484,12.7,6.1,67.0
36.052517,128.704675,12.7,6.2,68.0
36.057118,128.704867,12.3,6.2,70.0
36.061719,128.705058,12.1,6.2,71.0
36.010956,128.708615,10.0,4.3,71.0
36.015556,128.708807,9.8,4.2,72.0
36.020157,128.708998,10.1,4.3,71.0
36.024757,128.70919,10.4,4.5,70.0
36.029358,128.709382,10.7,4.6,70.0
36.033958,128.709574,10.9,4.7,69.0
36.038559,128.709765,11.3,4.9,68.0
36.04316,128.709957,12.1,5.7,68.0
36.047761,128.710149,12.8,6.2,67.0
36.052361,128.710341,12.4,6.2,69.0
36.056962,128.710533,12.1,6.3,71.0
36.061563,128.710725,12.1,6.3,72.0
36.066164,128.710917,12.2,6.3,72.0
36.070765,128.711109,12.2,6.3,72.0
36.075367,128.711301,12.2,6.3,72.0
36.006199,128.714085,10.5,4.6,70.0
36.0108,128.714277,9.9,4.2,72.0
36.0154,128.714469,9.9,4.3,71.0
36.020001,128.714661,10.5,4.6,70.0
36.024601,128.714854,10.9,4.7,69.0
36.029202,128.715046,11.2,4.8,68.0
36.033802,128.715238,11.4,5.0,68.0
36.038403,128.71543,11.8,5.5,68.0
36.043004,128.715622,12.6,6.0,67.0
36.047605,128.715814,12.8,6.2,67.0
36.052206,128.716007,12.4,6.2,69.0
36.056806,128.716199,12.1,6.3,71.0
36.061407,128.716391,12.2,6.3,72.0
36.066008,128.716584,12.2,6.4,72.0
36.070609,128.716776,12.2,6.3,72.0
36.075211,128.716969,12.1,6.3,72.0
36.006043,128.719747,10.3,4.5,71.0
36.010644,128.719939,9.8,4.2,72.0
36.015244,128.720132,10.0,4.3,71.0
36.019844,128.720324,10.6,4.6,70.0
36.024445,128.720517,11.0,4.7,69.0
36.029046,128.720709,11.4,5.0,68.0
36.033646,128.720902,11.7,5.4,68.0
36.038247,128.721095,12.1,5.6,68.0
36.042848,128.721287,12.6,6.0,67.0
36.047448,128.72148,12.8,6.2,67.0
36.052049,128.721673,12.5,6.2,69.0
36.05665,128.721865,12.1,6.3,71.0
36.061251,128.722058,12.2,6.3,72.0
36.065852,128.722251,12.3,6.4,72.0
36.070453,128.722444,12.2,6.4,72.0
36.075054,128.722636,12.1,6.3,72.0
36.088858,128.723215,12.2,6.4,72.0
36.093459,128.723408,12.4,6.5,73.0
36.001286,128.725216,10.6,4.6,70.0
36.005887,128.725409,10.1,4.4,71.0
36.010487,128.725602,9.9,4.2,72.0
36.015087,128.725795,10.0,4.3,71.0
36.019688,128.725987,10.5,4.6,70.0
36.024288,128.72618,10.9,4.7,69.0
36.028889,128.726373,11.2,4.8,68.0
36.03349,128.726566,11.4,5.0,68.0
36.03809,128.726759,11.7,5.4,68.0
36.042691,128.726952,12.4,5.9,67.0
36.047292,128.727145,12.8,6.2,67.0
36.051893,128.727338,12.6,6.2,69.0
36.056493,128.727531,12.3,6.2,70.0
36.061094,128.727725,12.1,6.3,71.0
36.065695,128.727918,12.3,6.4,72.0
36.070296,128.728111,12.3,6.4,72.0
36.074898,128.728304,12.1,6.3,72.0
36.079499,128.728497,12.1,6.3,72.0
36.0841,128.728691,12.1,6.3,72.0
36.088701,128.728884,12.2,6.4,72.0
36.093302,128.729077,12.3,6.4,72.0
35.996529,128.730684,10.7,4.7,70.0
36.00113,128.730877,10.5,4.6,70.0
36.00573,128.731071,10.4,4.5,71.0
36.01033,128.731264,10.2,4.4,71.0
36.014931,128.731457,10.1,4.4,71.0
36.019531,128.73165,10.5,4.5,70.0
36.024132,128.731844,10.8,4.7,69.0
36.028732,128.732037,11.1,4.7,68.0
36.033333,128.73223,11.3,4.9,68.0
36.037933,128.732424,11.6,5.3,68.0
36.042534,128.732617,12.3,5.8,67.0
36.047135,128.732811,12.8,6.2,67.0
36.051736,128.733004,12.8,6.2,68.0
36.056336,128.733198,12.5,6.2,69.0
36.060937,128.733391,12.1,6.3,71.0
36.065538,128.733585,12.2,6.4,72.0
36.070139,128.733778,12.3,6.5,72.0
36.07474,128.733972,12.2,6.4,72.0
36.079342,128.734166,12.1,6.3,72.0
36.083943,128.734359,12.1,6.3,72.0
36.088544,128.734553,12.2,6.3,72.0
36.093145,128.734747,12.2,6.3,72.0
36.097747,128.73494,12.1,6.3,72.0
35.991772,128.736152,10.8,4.7,70.0
35.996372,128.736345,10.6,4.6,70.0
36.000972,128.736539,10.7,4.7,70.0
36.005573,128.736732,10.9,4.7,69.0
36.010173,128.736926,10.9,4.7,69.0
36.014773,128.73712,10.7,4.7,70.0
36.019374,128.737313,10.8,4.7,70.0
36.023974,128.737507,11.1,4.7,68.0
36.028575,128.737701,11.5,5.2,68.0
36.033175,128.737894,11.8,5.5,68.0
36.037776,128.738088,12.1,5.6,68.0
36.042377,128.738282,12.4,5.9,67.0
36.046978,128.738476,12.7,6.1,67.0
36.051578,128.73867,12.8,6.2,67.0
36.056179,128.738864,12.3,6.2,70.0
36.06078,128.739058,12.1,6.3,72.0
36.065381,128.739252,12.3,6.5,72.0
36.069982,128.739446,12.3,6.5,72.0
36.074583,128.73964,12.2,6.4,72.0
36.079184,128.739834,12.1,6.3,72.0
36.083785,128.740028,12.1,6.3,72.0
36.088387,128.740222,12.1,6.3,72.0
36.092988,128.740416,12.1,6.3,72.0
36.097589,128.74061,12.1,6.3,72.0
36.102191,128.740804,12.0,6.3,72.0
35.991615,128.741812,10.9,4.7,69.0
35.996215,128.742006,10.8,4.7,70.0
36.000815,128.7422,11.0,4.7,69.0
36.005415,128.742394,11.3,4.9,68.0
36.010016,128.742588,11.5,5.2,68.0
36.014616,128.742782,11.4,5.0,68.0
36.019216,128.742976,11.3,4.9,68.0
36.023817,128.74317,11.6,5.3,68.0
36.028417,128.743364,12.2,5.8,68.0
36.033018,128.743559,12.6,6.1,67.0
36.037619,128.743753,12.7,6.1,67.0
36.042219,128.743947,12.8,6.2,67.0
36.04682,128.744141,12.7,6.3,68.0
36.051421,128.744335,12.5,6.2,69.0
36.056022,128.74453,12.1,6.3,71.0
36.060622,128.744724,12.3,6.4,72.0
36.065223,128.744918,12.4,6.5,72.0
36.069824,128.745113,12.3,6.4,72.0
36.074425,128.745307,12.1,6.3,72.0
36.079027,128.745502,12.1,6.3,72.0
36.083628,128.745696,12.1,6.3,72.0
36.088229,128.745891,12.0,6.3,72.0
36.09283,128.746085,12.0,6.2,72.0
36.097432,128.74628,12.0,6.2,72.0
36.102033,128.746474,12.0,6.2,72.0
36.106634,128.746669,12.0,6.2,72.0
35.991457,128.747472,11.2,4.9,68.0
35.996057,128.747667,11.0,4.8,69.0
36.000657,128.747861,11.3,4.9,68.0
36.005257,128.748056,11.7,5.4,68.0
36.009858,128.74825,12.2,5.7,68.0
36.014458,128.748444,12.5,5.9,67.0
36.019058,128.748639,12.4,5.9,68.0
36.023659,128.748833,12.2,5.8,68.0
36.028259,128.749028,12.6,6.0,67.0
36.03286,128.749223,12.9,6.2,67.0
36.037461,128.749417,12.7,6.3,68.0
36.042061,128.749612,12.4,6.3,70.0
36.046662,128.749806,12.2,6.2,71.0
36.051263,128.750001,12.1,6.3,71.0
36.055864,128.750196,12.1,6.3,72.0
36.060464,128.750391,12.4,6.6,72.0
36.065065,128.750585,12.4,6.5,72.0
36.069666,128.75078,12.2,6.4,72.0
36.074267,128.750975,12.2,6.4,72.0
36.078869,128.75117,12.2,6.4,72.0
36.08347,128.751365,12.1,6.3,72.0
36.088071,128.75156,12.0,6.2,72.0
36.092672,128.751754,12.1,6.2,71.0
36.097273,128.751949,12.1,6.2,71.0
36.101875,128.752144,12.0,6.2,71.0
35.991299,128.753133,11.6,5.3,68.0
35.995899,128.753328,11.5,5.2,68.0
36.000499,128.753522,12.0,5.6,68.0
36.005099,128.753717,12.3,5.8,68.0
36.0097,128.753912,12.5,6.0,67.0
36.0143,128.754107,12.8,6.2,67.0
36.0189,128.754302,12.8,6.3,68.0
36.023501,128.754497,12.8,6.2,67.0
36.028101,128.754692,12.8,6.2,67.0
36.032702,128.754887,12.7,6.3,68.0
36.037302,128.755082,12.3,6.3,70.0
36.041903,128.755277,12.1,6.3,71.0
36.046504,128.755472,12.1,6.3,72.0
36.051105,128.755667,12.1,6.3,72.0
36.055705,128.755862,12.2,6.4,72.0
36.060306,128.756057,12.4,6.6,72.0
36.064907,128.756252,12.4,6.5,72.0
36.069508,128.756447,12.3,6.4,72.0
36.074109,128.756643,12.3,6.5,72.0
36.07871,128.756838,12.3,6.5,72.0
36.083311,128.757033,12.1,6.3,72.0
36.087913,128.757228,12.0,6.2,71.0
36.092514,128.757424,12.3,6.2,70.0
36.097115,128.757619,12.5,6.2,69.0
35.98654,128.758598,12.3,5.9,68.0
35.99114,128.758793,11.9,5.5,68.0
35.995741,128.758988,12.2,5.8,68.0
36.000341,128.759184,12.7,6.1,67.0
36.004941,128.759379,12.8,6.2,67.0
36.009541,128.759574,12.8,6.2,67.0
36.014141,128.759769,12.8,6.3,68.0
36.018742,128.759965,12.5,6.3,69.0
36.023342,128.76016,12.6,6.3,69.0
36.027943,128.760355,12.7,6.3,68.0
36.032543,128.760551,12.3,6.3,70.0
36.037144,128.760746,12.1,6.3,71.0
36.041744,128.760941,12.1,6.3,72.0
36.046345,128.761137,12.2,6.4,72.0
36.050946,128.761332,12.2,6.4,72.0
36.055547,128.761528,12.3,6.4,72.0
36.060148,128.761723,12.5,6.6,73.0
36.064748,128.761919,12.5,6.6,73.0
36.069349,128.762115,12.4,6.5,72.0
36.07395,128.76231,12.4,6.5,72.0
36.078552,128.762506,12.2,6.4,72.0
36.083153,128.762701,12.0,6.3,72.0
36.087754,128.762897,12.0,6.2,72.0
36.092355,128.763093,12.3,6.2,70.0
36.096956,128.763289,12.7,6.1,67.0
36.101558,128.763484,12.2,5.7,67.0
35.986382,128.764258,12.5,6.0,68.0
35.990982,128.764454,12.3,5.9,68.0
35.995582,128.764649,12.7,6.2,67.0
36.000182,128.764845,12.9,6.3,68.0
36.004782,128.76504,12.8,6.3,68.0
36.009382,128.765236,12.9,6.3,68.0
36.013983,128.765432,12.8,6.3,68.0
36.018583,128.765627,12.2,6.3,71.0
36.023183,128.765823,12.2,6.3,71.0
36.027784,128.766019,12.2,6.3,71.0
36.032384,128.766215,12.2,6.3,72.0
36.036985,128.76641,12.2,6.4,72.0
36.041586,128.766606,12.3,6.4,72.0
36.046186,128.766802,12.4,6.5,72.0
36.050787,128.766998,12.5,6.6,73.0
36.055388,128.767194,12.5,6.6,73.0
36.059989,128.76739,12.6,6.7,73.0
36.06459,128.767586,12.7,6.7,73.0
36.06919,128.767782,12.4,6.6,72.0
36.073791,128.767978,12.2,6.3,72.0
36.078393,128.768174,12.0,6.3,72.0
36.082994,128.76837,12.0,6.2,71.0
36.087595,128.768566,12.1,6.2,71.0
36.092196,128.768762,12.6,6.2,68.0
36.096797,128.768958,12.2,5.7,67.0
36.101399,128.769154,11.6,5.1,68.0
35.981623,128.769722,12.8,6.4,68.0
35.986223,128.769918,12.8,6.2,68.0
35.990823,128.770114,12.7,6.2,68.0
35.995423,128.77031,12.9,6.3,68.0
36.000023,128.770506,12.7,6.3,68.0
36.004623,128.770702,12.5,6.3,69.0
36.009223,128.770898,12.8,6.3,68.0
36.013824,128.771094,12.6,6.3,69.0
36.018424,128.77129,12.2,6.3,71.0
36.023024,128.771486,12.2,6.4,72.0
36.027625,128.771682,12.2,6.4,72.0
36.032225,128.771879,12.3,6.5,72.0
36.036826,128.772075,12.4,6.6,72.0
36.041426,128.772271,12.5,6.7,73.0
36.046027,128.772467,12.8,6.8,73.0
36.050628,128.772664,12.9,6.8,73.0
36.055229,128.77286,12.9,6.8,73.0
36.059829,128.773056,12.9,6.8,73.0
36.06443,128.773253,12.7,6.7,73.0
36.069031,128.773449,12.2,6.4,72.0
36.073632,128.773645,12.0,6.2,72.0
36.078233,128.773842,12.3,6.2,70.0
36.082834,128.774038,12.5,6.2,69.0
36.087435,128.774235,12.7,6.2,68.0
36.092037,128.774431,12.5,6.0,67.0
36.096638,128.774628,11.7,5.4,68.0
35.986063,128.775578,12.8,6.3,68.0
35.990663,128.775774,12.8,6.3,68.0
35.995263,128.775971,12.7,6.3,68.0
35.999863,128.776167,12.5,6.3,69.0
36.004464,128.776363,12.3,6.3,70.0
36.009064,128.77656,12.3,6.3,70.0
