name,lat,lon,category
삼성영어수학이천남학원,37.2777021271,127.4430015228,학원
장상미영어학원,37.2867680938,127.4598040975,학원
썬영수전문학원,37.3396414597,127.4917361973,학원
한솔플러스영어도암학원,37.3193276335,127.4409159888,학원
엘발레학원,37.2533506197,127.4912945714,학원
이천제빵커피학원,37.2815801231,127.4472627068,학원
멘토보습학원,37.1153645505,127.6287574477,학원
선화예술음악학원,37.256748943,127.4917114297,학원
상위1%교육학원,37.2838712405,127.4508936069,학원
소울실용음악학원,37.2955650587,127.4578362104,학원
눈높이러닝센터송정학원,37.295030707,127.432845288,학원
아코르색소폰전문학원,37.2858802657,127.4483201532,학원
위트니영어교습소,37.2807907994,127.4569194447,학원
파인수학교습소,37.2592802406,127.4785842764,학원
더클래식피아노음악교습소,37.2883038879,127.4457688284,학원
리드인논술교습소,37.2536661045,127.4912043227,학원
그림이네미술교습소,37.290800632,127.4454849843,학원
한솔수학학원,37.2523774335,127.3539036049,학원
이정은피아노전문음악학원,37.3160459319,127.4240236286,학원
아수카일본어교습소,37.2960154161,127.4568881983,학원
체인지업수학교습소,37.2854296006,127.4483994304,학원
이관우영어교습소,37.2832684833,127.4538270487,학원
수담고등수학학원,37.2905592469,127.4499979786,학원
진국어학원,37.2868544413,127.4498650522,학원
한솔플러스영어&수학의빛학원,37.3375861851,127.4903817327,학원
디오댄스학원,37.2759162072,127.4406679374,학원
가비인규커피바리스타학원,37.2773671491,127.4400463942,학원
이지학원,37.2938786533,127.4556709026,학원
이천킹버드코리아보습학원,37.2824119279,127.4342778867,학원
하얀나무보습학원,37.2819745717,127.4426034741,학원
부발푸르넷수학교습소,37.2855753916,127.4874439349,학원
이천미용학원,37.2812892442,127.4420625225,학원
아녜스피아노학원,37.2821087059,127.44042618,학원
지학보습학원,37.2834909287,127.4469003817,학원
아미영어학원,37.2515569343,127.4929411079,학원
더아트미술학원,37.2825208505,127.4552037693,학원
이천씨앤씨미술학원,37.2818547957,127.4374821043,학원
비인음악교습소,37.256748943,127.4917114297,학원
삼성영어아미교습소,37.2564874186,127.4901777906,학원
상승피아노학원,37.1624377643,127.5752254791,학원
코치클래스수학학원,37.2950134896,127.4342894908,학원
강남입시전략컨설팅학원,37.2823912012,127.446856031,학원
차음악교습소,37.2847831743,127.454706056,학원
탑수학하이닉스학원,37.2507997842,127.4934598801,학원
파인트리음악학원,37.2840622948,127.4553382286,학원
수가인뷰티미용학원,37.2801285355,127.4465192071,학원
이천컴퓨터학원,37.2839942908,127.4438202958,학원
내신완성국어교습소,37.2523774335,127.3539036049,학원
수학여우신하학원,37.2599924459,127.4791253943,학원
탄탄수학교습소,37.2843300992,127.4488739882,학원
영광학원,37.281641212,127.4429308681,학원
오마이잉글리시학원,37.2858906767,127.4516255827,학원
웅진씽크빅학습센터증신학원,37.295030707,127.432845288,학원
그릿1관학원,37.2950134896,127.4342894908,학원
SH으뜸학원,37.2565957199,127.4919369862,학원
홍우학원,37.1192483933,127.6299459649,학원
미쁨학원,37.1167365592,127.6270488285,학원
김쌤의학습코칭영어교습소,37.284088405,127.4340508072,학원
안암갈산1관학원,37.2863525407,127.4572095913,학원
어린이수학교습소,37.2824423653,127.440707938,학원
까담TV컨설팅학원,37.2895634784,127.4630179527,학원
수학에반하다&3030영어학원,37.2889224639,127.4598819242,학원
행복한논술교습소,37.2929502599,127.4557955538,학원
이천혜윰학원,37.2841042817,127.4478024377,학원
더그림미술잉글리시아이학원,37.2894899297,127.4586744605,학원
한국학원,37.2605505895,127.475347253,학원
디액터스입시연기학원,37.2795922647,127.4374501344,학원
SM뮤직아카데미학원,37.2585231722,127.4792047407,학원
예희음악학원,37.2423174093,127.4911492674,학원
꿈의선율음악학원,37.3375861851,127.4903817327,학원
삼성영어한내학원,37.2895634784,127.4630179527,학원
혜담미술학원,37.295716823,127.434728909,학원
수영재학원,37.2695927415,127.4501471934,학원
로뎀나무미술교습소,37.2838712405,127.4508936069,학원
이천비상에듀독학기숙학원,37.2581047875,127.3904983423,학원
필실용음악학원,37.2810838094,127.4460560251,학원
뮤엠영어학원,37.2830165604,127.4550455425,학원
푸르넷공부방학원,37.2890633407,127.4509917693,학원
한솔플러스영어수학바론학원,37.2889264049,127.4469868167,학원
강남대성기숙s관학원,37.2582026719,127.3891336571,학원
삼성영어안흥학원,37.2809262214,127.4575059594,학원
엠케이영어학원,37.276642914,127.4531204575,학원
라임음악학원,37.295030707,127.432845288,학원
트렌미뷰티아카데미학원,37.2801285355,127.4465192071,학원
서울음악학원,37.2950670689,127.4333868264,학원
비바체피아노학원,37.2828041854,127.4432796976,학원
빡수학학원,37.2814804971,127.4462136717,학원
해법중국어잉글리쉬무무서일영어학원,37.2841698519,127.4537475304,학원
