"시도명",시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
"경기도",구리시,아차산로,,경기도 구리시 아천동 291-9,31120-CW-00001,1,N,N,37.56379732,127.1153644,6,7.9,17.9,Y,N,N,23,97,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아치울길,,경기도 구리시 아천동 151-1,31120-CW-00002,1,N,N,37.57350171,127.1227105,3,4.9,17.5,Y,N,N,20,100,N,Y,N,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 100-1,31120-CW-00003,4,N,N,37.57542478,127.1235843,1,4.9,7.6,N,N,N,0,0,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-1,31120-CW-00004,1,N,N,37.62704229,127.1402814,7,6.2,24.7,Y,N,Y,27,155,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 70,31120-CW-00005,4,N,N,37.57587299,127.1249034,1,5,7,N,N,N,0,0,Y,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 산 175-120,31120-CW-00006,1,N,N,37.62857421,127.1404666,1,3,11.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 아천동 79-6,31120-CW-00007,4,N,N,37.57856901,127.1272013,7,7.9,27.9,Y,N,N,33,87,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 672-6,31120-CW-00008,1,Y,N,37.5812808,127.1289432,7,6.5,24.3,Y,N,N,28,92,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-4,31120-CW-00009,1,N,N,37.62663711,127.1400091,1,3.2,9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 667-1,31120-CW-00010,4,N,N,37.58178183,127.1281546,3,6.5,13.1,Y,N,N,21,99,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 667-1,31120-CW-00011,1,N,N,37.58178183,127.1281546,1,3,9,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,한다리길,,경기도 구리시 교문동 산 130-3,31120-CW-00012,1,N,N,37.58360702,127.1293666,3,4,12.1,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 산 175-117,31120-CW-00013,1,N,N,37.6252008,127.1397625,1,3.2,7.5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 462-1,31120-CW-00014,4,N,N,37.58664668,127.1301842,8,5.1,29.8,Y,N,Y,24,156,Y,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,동구릉로,,경기도 구리시 사노동 164-4,31120-CW-00015,1,N,N,37.62663711,127.140019,1,3.1,5,N,N,N,0,0,N,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,아차산로,,경기도 구리시 교문동 462-1,31120-CW-00016,1,N,N,37.58664668,127.1301842,8,6,29,Y,N,Y,108,92,N,Y,Y,Y,경기도 구리시청,031-557-1010,2023-12-13
"경기도",구리시,장자대로,,경기도 구리시 교문동 469-26,31120-CW-00017,4,N,N,37.5873762,127.130489,1,6,7.3,N,N,N,0,0,Y,Y,Y,N,경기도 구리시청,031-557-1010,2023-12-13
