시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
경기도,이천시,경충대로,,경기도 이천시 신둔면 수광리 439-9,1,1,N,N,37.3135534,127.3975175,7,8,24.8,Y,N,N,25,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,경기도 이천시 신둔면 경충대로 3122-20,경기도 이천시 신둔면 수광리 716,2,1,N,N,37.30620895,127.4034327,5,8,17.2,Y,N,N,20,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,경기도 이천시 신둔면 경충대로 3122-20,경기도 이천시 신둔면 수광리 716,3,1,N,N,37.30620895,127.4034327,6,8,20.2,Y,N,N,20,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 신둔면 수광리 124-4,4,1,N,N,37.30366847,127.4056318,5,8,18.8,Y,N,N,20,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 사음동 710,5,1,Y,N,37.30021196,127.4077116,7,6,22.6,Y,Y,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 사음동 573-6,6,1,N,N,37.2990158,127.4084272,7,6,23.2,Y,Y,N,25,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 사음동 546,7,1,Y,N,37.29601878,127.4118981,6,6,19.6,Y,Y,N,20,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 사음동 192-5,8,1,N,N,37.29432229,127.4185691,6,8,19.4,Y,Y,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 사음동 169-1,9,1,N,N,37.29410445,127.4199376,8,8,19.2,Y,Y,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 관고동 218-10,10,1,N,N,37.28173655,127.4325212,6,8,20.8,Y,Y,N,23,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 관고동 산52-7,11,1,Y,N,37.28032737,127.4334374,6,8,22.8,Y,Y,N,25,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 관고동 509,12,4,Y,N,37.27757881,127.4355522,6,6,22.2,Y,Y,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 중리동 315,13,4,Y,N,37.27629235,127.4369371,7,8,23.6,Y,Y,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 중리동 117-6,14,4,Y,N,37.27463819,127.4466311,6,8,22.6,Y,N,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 중리동 36-9,15,4,Y,N,37.27460794,127.4475526,6,8,22.6,Y,N,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 진리동 8,16,4,Y,N,37.27413594,127.4508889,6,6,19.6,Y,N,N,20,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 진리동 430-1,17,4,Y,N,37.2733174,127.4533535,6,6,19.2,Y,N,N,20,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 진리동 430-1,18,4,Y,N,37.2733174,127.4533535,5,4,18,Y,N,N,20,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 88-2,19,4,Y,N,37.26640287,127.4622077,5,4,19.2,Y,N,N,20,,Y,Y,Y,N,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 614-8,20,1,N,N,37.26332896,127.4718198,6,6,20.2,Y,N,N,23,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 210-3,21,1,N,N,37.26184895,127.4743992,6,8,19.2,Y,N,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 210-3,22,1,N,N,37.26184895,127.4743992,4,8,17,Y,N,N,20,,N,Y,N,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 489-3,23,1,N,N,37.25956323,127.4789059,5,8,18,Y,N,N,20,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 488-1,24,4,N,N,37.25886738,127.4810993,6,6,22.8,Y,N,N,25,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 488-1,25,1,N,N,37.25886738,127.4810993,7,6,24.4,Y,N,N,25,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 신하리 555-3,26,1,N,N,37.25731545,127.4849339,6,8,26,Y,N,N,27,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,경기도 이천시 부발읍 경충대로 2091,경기도 이천시 부발읍 아미리 712-7,27,1,N,N,37.25054852,127.4826517,7,6,22,Y,N,N,23,,N,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
경기도,이천시,경충대로,,경기도 이천시 부발읍 아미리 1066,28,4,N,N,37.24911407,127.4911813,6,8,21.8,Y,N,N,23,,Y,Y,Y,Y,경기도 이천시청,031-644-2443,2025-02-25
