구분,업종명,업소명,영업소 주소(도로명),데이터기준일
1,이용업,청통이발관,경상북도 영천시 청통면 원촌리 522-3 ,2025-05-12
2,이용업,영천이용소,경상북도 영천시 고경면 호국로 391,2025-05-12
3,이용업,오거리이용소,경상북도 영천시 완산동 1965 ,2025-05-12
4,이용업,유성이용소,경상북도 영천시 서문길 28 (성내동),2025-05-12
5,이용업,향토이용소,경상북도 영천시 장수로 24 (화룡동),2025-05-12
6,이용업,신우이용소,경상북도 영천시 화산면 장수로 573,2025-05-12
7,이용업,부흥이용소,경상북도 영천시 천문로 271 (완산동),2025-05-12
8,이용업,효성이용소,경상북도 영천시 최무선로 213-5 (성내동),2025-05-12
9,이용업,동아이용소,경상북도 영천시 교촌샛길 11-3 (교촌동),2025-05-12
10,이용업,새마을이용소,경상북도 영천시 신녕면 관기길 31-31,2025-05-12
11,이용업,시장이용소,경상북도 영천시 시장3길 5 (완산동),2025-05-12
12,이용업,성남이용소,"경상북도 영천시 영천고2길 9 (야사동,문화상가 B동 205호)",2025-05-12
13,이용업,영진이용소,경상북도 영천시 동문길 94 (문외동),2025-05-12
14,이용업,덕신이용소,경상북도 영천시 동문길 41 (문내동),2025-05-12
15,이용업,우정이용소,경상북도 영천시 금호읍 금호로 149,2025-05-12
16,이용업,경북이용소,경상북도 영천시 역전로 29 (완산동),2025-05-12
17,이용업,서울이용소,"경상북도 영천시 상록4길 1, 바동 1호 (문외동)",2025-05-12
18,이용업,덕성이용소,"경상북도 영천시 충효로 145 (야사동,주공상가2층)",2025-05-12
19,이용업,덕신이용소,경상북도 영천시 화산면 유성길 9,2025-05-12
20,이용업,영천이용원,경상북도 영천시 동문길 8 (창구동),2025-05-12
21,이용업,명주이용소,경상북도 영천시 북안면 운북로 1428-1,2025-05-12
22,이용업,새신녕이용소,경상북도 영천시 신녕면 본관시장길 26-5,2025-05-12
23,이용업,태평이용소,경상북도 영천시 상아탑길 7-9 (화룡동),2025-05-12
24,이용업,임고이용소,경상북도 영천시 임고면 운주로 1,2025-05-12
25,이용업,니나이용소,경상북도 영천시 청산1길 13 (문외동),2025-05-12
26,이용업,월드컵,경상북도 영천시 구읍1길 10 (완산동),2025-05-12
27,이용업,동진이발소,"경상북도 영천시 야사4길 37 (야사동,나동2호)",2025-05-12
28,이용업,영화이용원,"경상북도 영천시 상아탑길 7-9, 1층 (화룡동)",2025-05-12
29,이용업,합동이용원,경상북도 영천시 영천고1길 91 (야사동),2025-05-12
30,이용업,새문화이용소,"경상북도 영천시 영천고2길 42, 14동 5호 (야사동,문화아파트)",2025-05-12
31,이용업,대창이용소,경상북도 영천시 대창면 금박로 1053-1,2025-05-12
32,이용업,서문이용원,경상북도 영천시 상록5길 19 (야사동),2025-05-12
33,이용업,광이발소,경상북도 영천시 금호읍 금창로 4,2025-05-12
34,이용업,청구이용원,경상북도 영천시 신녕면 장수로 1665,2025-05-12
35,이용업,수덕이용소,"경상북도 영천시 시장4길 4 (완산동,외1필지(1065-4))",2025-05-12
36,이용업,대성이용소,경상북도 영천시 금호읍 금호시장길 53-1,2025-05-12
37,이용업,명진이용원,"경상북도 영천시 야사4길 11, A동 106호 (야사동,영동상가)",2025-05-12
38,이용업,진흥이용원,경상북도 영천시 완산중앙9길 22 (완산동),2025-05-12
39,이용업,황실이용원,"경상북도 영천시 강변로 69, 지하1층 (금노동)",2025-05-12
40,이용업,제일이용소,경상북도 영천시 시청남길 26 (문외동),2025-05-12
41,이용업,삼보이용소,경상북도 영천시 영천아이시로 61 (봉동),2025-05-12
42,이용업,동부이용소,경상북도 영천시 새말1길 11 (야사동),2025-05-12
43,이용업,청 이용소,"경상북도 영천시 창신길 140-11, 108호 (망정동)",2025-05-12
44,이용업,보보스클럽,"경상북도 영천시 창신길 31, 2호 (망정동)",2025-05-12
45,이용업,평화이용소,경상북도 영천시 서문길 97-1 (교촌동),2025-05-12
46,이용업,청통이용원,"경상북도 영천시 청통면 금송로 968-2, 2층",2025-05-12
47,이용업,머리염색,"경상북도 영천시 금호읍 금호로 101, 영천금호전통시장 3지구 5",2025-05-12
48,이용업,청춘이발소,경상북도 영천시 상록1길 46 (야사동),2025-05-12
49,이용업,새경북이용소,경상북도 영천시 금호읍 금호로 134,2025-05-12
50,이용업,오헤어,경상북도 영천시 호국로 83 (야사동),2025-05-12
51,이용업,하이버바버샵,"경상북도 영천시 문외1길 47, 2층 (문외동)",2025-05-12
52,이용업,프린스 이용원,경상북도 영천시 강남길 48-1 (완산동),2025-05-12
53,이용업,광천온천,"경상북도 영천시 영화로 326, 광천온천랜드 3층 (조교동)",2025-05-12
54,미용업,명주미용실,경상북도 영천시 북안면 운북로 1443,2025-05-12
