상호,소재지도로명주소,소재지지번주소,위도,경도
배롱집,경상북도 영천시 청통면 장수로 438,경상북도 영천시 청통면 호당리 552-1 ,35.99318992,128.8952764
아리랑태무 태권도장,경상북도 영천시 청통면 강둑길 7-2,경상북도 영천시 청통면 원촌리 516-83 ,35.98948383,128.8239472
창용체육관,경상북도 영천시 모란4길 3 (야사동),경상북도 영천시 야사동 167-14 ,35.97602788,128.940189
영남대 혁신태권도체육관,경상북도 영천시 망정1길 186 (망정동),경상북도 영천시 망정동 347-3 ,35.98194941,128.9515923
영천검도관,경상북도 영천시 중앙동4길 12 (문외동),경상북도 영천시 문외동 138-12 ,35.97331243,128.9336038
경희영재태권도장,"경상북도 영천시 미륵4길 7, 황금상가 2층 201호 (망정동)",경상북도 영천시 망정동 131 황금상가 2층 201호,35.97258834,128.9489074
정의태권도체육관,경상북도 영천시 창신1길 25 (망정동),경상북도 영천시 망정동 471-1 ,35.98831789,128.9543082
아리랑태무금호태권도장,경상북도 영천시 금호읍 거여로 15,경상북도 영천시 금호읍 냉천리 705-14 ,35.93260774,128.87911
중앙태권도교육관,경상북도 영천시 옛군청3길 67 (문내동),경상북도 영천시 문내동 206-2,35.97017565,128.9313272
국가대표 영재 태권스쿨,"경상북도 영천시 완산5길 25, 근린생활시설동 201호 (완산동, 영천완산미소지움)",경상북도 영천시 완산동 1460 영천완산미소지움 근린생활시설동 201호,35.96744519,128.9416503
동부 키즈아이 태권도장,"경상북도 영천시 청산길 24, 202호 (문외동)",경상북도 영천시 문외동 247-6 202호,35.97350258,128.9358015
YC복싱클럽,경상북도 영천시 호국로 9 (문외동),경상북도 영천시 문외동 40-35 ,35.97144651,128.9394028
영재1 태권도 도장,경상북도 영천시 언하공단로 103 (망정동),경상북도 영천시 망정동 402-15 (5층) ,35.98554943,128.9522344
퍼펙트 유도관,"경상북도 영천시 호국로 41, 애플타워 지하1층 (야사동)",경상북도 영천시 야사동 297-1 애플타워 지하1층 ,35.97287498,128.9422804
혁신 태권도,경상북도 영천시 망정1길 186 (망정동),경상북도 영천시 망정동 347-3 ,35.98194941,128.9515923
