연번,종류,시도,시군구,읍면동(행정동),관리번호,설치장소명,지번주소,경도,위도,설치일시,원단명,전체높이(M),펼침지름(M),제품제작업체,설치업체,영조물보험 가입 유무,관리기관명,관리기관전화번호
1,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-001,에브리데이 앞,경기도 구리시 갈매동 529 ,127.1212873,37.6372679,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
2,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-002,마라홀릭 마라탕 앞,경기도 구리시 갈매동 528-2 ,127.1212873,37.6372679,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
3,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-003,갈매1주택단지 버스정류장 옆,경기도 구리시 갈매동 552-1 ,127.123425,37.6368218,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
4,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-004,자산드림부동산 옆,경기도 구리시 갈매동 541 ,127.1235055,37.6371171,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
5,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-005,뚜레쥬르 앞,경기도 구리시 갈매동 552-1 ,127.1218854,37.6362526,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
6,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-006,구리경찰서 갈매지구대 맞은편,경기도 구리시 갈매동 650 ,127.1200079,37.6298356,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
7,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-007,갈매초등학교 정문 우측,경기도 구리시 갈매동 336 ,127.1157083,37.6285822,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
8,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-008,갈매역아이파크 상가 앞,경기도 구리시 갈매동 585 ,127.1183851,37.6335826,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
9,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-009,갈매역아이파크 상가 맞은편,경기도 구리시 갈매동 585 ,127.1186829,37.6334403,2024-06-11,메시원단,3.5,4,㈜피닉스코리아,㈜피닉스코리아,Y,구리시청,031-550-2162
10,그늘막(고정형),경기도,구리시,갈매동,갈매동2024-020,자산드림부동산 맞은편,경기도 구리시 갈매동 552-19 ,127.1236235,37.636911,2024-06-11,메시원단,3.4,3,㈜피닉스코리아,(주)피닉스코리아,Y,구리시청,031-550-2162
