순번,관리번호,설치장소명,유형,전체높이(m),펼침지름(m),설치일자,도로명주소,지번주소,위도,경도,관리기관명
1,조치원읍-9,국민은행 앞,그늘막(스마트형),3,5,2018-08-31, ,세종특별자치시 세종시 조치원읍 원리 13 ,36.6014969,127.2994857,조치원읍
2,조치원읍-10,시민회관사거리 하나의원 앞,그늘막(스마트형),3,5,2018-08-31,세종특별자치시 세종시 조치원읍 조치원로 42   ,세종특별자치시 세종시 조치원읍 상리 138-3 ,36.6011676,127.3015575,조치원읍
3,조치원읍-11,조치원 복합커뮤니티센터 앞,그늘막(스마트형),3.1,5,2022-09-16, ,세종특별자치시 세종시 조치원읍 신흥리 227-21 ,36.5950998,127.2884509,조치원읍
4,조치원읍-15,신흥사거리 삼각지역,그늘막(스마트형),3,5.4,2023-08-16, ,세종특별자치시 세종시 조치원읍 신흥리 271-6 ,36.5953,127.2909,조치원읍
5,조치원읍-16,상리사거리 삼각지역,그늘막(스마트형),3,5.4,2024-06-05, ,세종특별자치시 세종시 조치원읍 상리 36-1 ,36.6032078,127.304627,조치원읍
6,조치원읍-17,상리사거리 삼각지,그늘막(스마트형),3,5.4,2024-06-05,세종특별자치시 세종시 조치원읍 허만석로 266   ,세종특별자치시 세종시 조치원읍 상리 168-1 ,36.6030312,127.3051178,조치원읍
7,조치원읍-18,상리사거리 삼각지,그늘막(스마트형),3,5.4,2024-06-05, ,세종특별자치시 세종시 조치원읍 상리 48-3 ,36.6029042,127.3048523,조치원읍
8,조치원읍-19,"인접 교리10-1, 행복마트앞",그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 조치원읍 교리 28-2 ,36.6046785,127.2976291,조치원읍
9,조치원읍-20,신흥주공아파트 앞,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 조치원읍 신흥리 390-7 ,36.5952727,127.2931015,조치원읍
10,조치원읍-21,시민체육관 앞,그늘막(스마트형),3,5.4,2024-07-10,세종특별자치시 세종시 조치원읍 대첩로 116   ,세종특별자치시 세종시 조치원읍 신흥리 380 ,36.5947257,127.2844112,조치원읍
11,조치원읍-22,서창행복주택아파트 건너편,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 조치원읍 서창리 92-5 ,36.6104445,127.2967735,조치원읍
12,조치원읍-23,현대차 앞,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 조치원읍 죽림리 237-7 ,36.5925572,127.2987825,조치원읍
13,연기면-01,연기사거리 상행,그늘막(스마트형),3,5.4,2024-12-04,,세종특별자치시 연기면 연기리 751-1      ,,,연기면
14,연기면-02,연기사거리 하행,그늘막(스마트형),3,5.4,2024-12-04,,세종특별자치시 연기면 보통리 365-12      ,,,연기면
15,연서면-1,봉암사거리 봉암손짜장 앞,그늘막(스마트형),3,3.3,2024-06-25, ,세종특별자치시 세종시 연서면 봉암리 234-56 ,36.5617,127.2853,연서면
16,연서면-2,봉암사거리 봉암손짜장 맞은편,그늘막(스마트형),3,3.3,2024-06-25, ,세종특별자치시 세종시 연서면 봉암리 234-2 ,36.5621,127.2848,연서면
17,한솔동-13,첫마을 4단지 인근 삼거리 횡단보도,그늘막(스마트형),2.8,4.6,2021-06-30, ,세종특별자치시 세종시 한솔동 1229 ,36.4803502,127.2536383,한솔동
18,한솔동-14,아침뜰근린공원 인근 횡단보도,그늘막(스마트형),2.8,4.6,2021-06-30, ,세종특별자치시 세종시 한솔동 1229 ,36.4777169,127.2497093,한솔동
19,한솔동-15,세종중앙농협 첫마을점 인근 횡단보도,그늘막(스마트형),2.8,4.6,2021-06-30, ,세종특별자치시 세종시 한솔동 1229 ,36.4758137,127.2516935,한솔동
20,한솔동-16,교촌치킨 앞,그늘막(스마트형),2.8,4.6,2022-07-01, ,세종특별자치시 세종시 한솔동 1230 ,36.480369,127.253521,한솔동
21,한솔동-17,KB국민은행 맞은편,그늘막(스마트형),2.8,4.6,2022-07-01, ,세종특별자치시 세종시 한솔동 1231 ,36.482031,127.259959,한솔동
22,한솔동-18,첫마을 7단지 정문쪽 신호등,그늘막(스마트형),2.8,4.6,2022-07-01, ,세종특별자치시 세종시 한솔동 1234 ,36.474299,127.255035,한솔동
23,한솔동-19,아침뜰근린공원 물빛마당 인근,그늘막(스마트형),3,4.6,2022-09-01, ,세종특별자치시 세종시 한솔동 1229 ,36.4796,127.2508,한솔동
24,한솔동-20,어울로3길 주택단지 인근,그늘막(스마트형),3,4,2022-09-01, ,세종특별자치시 세종시 한솔동 1229 ,36.4794,127.2507,한솔동
25,한솔동-22,첫마을 103동 앞,그늘막(스마트형),3,5.4,2023-05-23, ,세종특별자치시 세종시 한솔동 1231 ,36.4822,127.2599,한솔동
26,한솔동-23,첫마을 101동 앞,그늘막(스마트형),3,5.4,2023-05-23, ,세종특별자치시 세종시 한솔동 1231 ,36.4802,127.2586,한솔동
27,한솔동-27,세종 꿈의교회 앞,그늘막(스마트형),3,5.4,2024-06-05, ,세종특별자치시 세종시 한솔동 1230 ,36.478612,127.2558,한솔동
28,한솔동-28,,그늘막(스마트형),3,5.4,2024-06-05, ,세종특별자치시 세종시 한솔동 1229 ,36.476353,127.251192,한솔동
29,한솔동-29,첫마을 5단지 GS편의점 옆,그늘막(스마트형),3,5.4,2024-07-30, ,세종특별자치시 세종시 한솔동 1229 ,36.476566,127.251366,한솔동
30,한솔동-30,첫마을 3단지 309동 도로변,그늘막(스마트형),3,5.4,2024-12-02, ,세종특별자치시 세종시 한솔동 1234 ,36.478419,127.26154,한솔동
31,새롬동-10,스타 벅스 앞 ,그늘막(스마트형),3,5,2021-05-25, ,세종특별자치시 세종시 새롬동 626 ,36.4864285,127.2507963,새롬동
32,새롬동-11,스타벅스 건너편 ,그늘막(스마트형),3,5,2021-05-25, ,세종특별자치시 세종시 새롬동 626 ,36.4862801,127.2508179,새롬동
33,새롬동-22,새롬동 615,그늘막(스마트형),3,3,2023-06-28, ,세종특별자치시 세종시 새롬동 615 ,36.4795291,127.2460309,새롬동
34,새롬동-23,새롬동 615,그늘막(스마트형),3,5,2023-06-28, ,세종특별자치시 세종시 새롬동 615 ,36.4796907,127.2463439,새롬동
35,새롬동-34,402동 이마트에브리데이 앞,그늘막(스마트형),3,5.4,2023-12-26,"세종특별자치시 세종시 새롬북로 13   (새롬동, 새뜸마을4단지)",세종특별자치시 세종시 새롬동 554 ,36.4866,127.2467,새롬동
36,새롬동-35,새뜸마을 2단지 앞,그늘막(스마트형),3,5.4,2024-07-10, ,세종특별자치시 세종시 새롬동 615 ,36.4826,127.2462,새롬동
37,나성동-13,정부세종2청사 앞,그늘막(스마트형),3,5,2020-09-14, ,세종특별자치시 세종시 나성동 726 ,36.4840581,127.2593376,나성동
38,나성동-14,정부세종2청사 앞,그늘막(스마트형),3,5,2020-09-14, ,세종특별자치시 세종시 나성동 726 ,36.485916,127.2586133,나성동
39,나성동-21,국세청 앞,그늘막(스마트형),3,5,2020-09-14,세종특별자치시 세종시 한누리대로 219   (나성동),세종특별자치시 세종시 나성동 752 ,36.4841,127.2593,나성동
40,나성동-22,행정안전부 맞은편,그늘막(스마트형),3,5,2020-09-14, ,세종특별자치시 세종시 나성동 726 ,36.4837025,127.2595972,나성동
41,나성동-27,나성동 306동 앞 횡단보도,그늘막(스마트형),3,5,2022-06-03, ,세종특별자치시 세종시 나성동 366-2 ,36.4898738,127.2627632,나성동
42,나성동-28,나성동 309동 앞 횡단보도(서북쪽),그늘막(스마트형),3,5,2022-06-03, ,세종특별자치시 세종시 나성동 261-2 ,36.4885,127.2638,나성동
43,나성동-29,나성동 복컴 앞 횡단보도(동북쪽),그늘막(스마트형),3,5,2022-06-03, ,세종특별자치시 세종시 나성동 261-2 ,36.4886532,127.2640286,나성동
