시도명,시군구명,도로명,소재지도로명주소,소재지지번주소,횡단보도관리번호,횡단보도종류,자전거횡단도겸용여부,고원식적용여부,위도,경도,차로수,횡단보도폭,횡단보도연장,보행자신호등유무,보행자작동신호기유무,음향신호기설치여부,녹색신호시간,적색신호시간,교통섬유무,보도턱낮춤여부,점자블록유무,집중조명시설유무,관리기관명,관리기관전화번호,데이터기준일자
세종특별자치시,없음,보듬8로,,세종특별자치시 도담동 908,SJ00001,1,,N,36.518168,127.2627741,4,5.3,14.1,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬8로,,세종특별자치시 도담동 908,SJ00002,1,,N,36.51819862,127.2627741,3,5.3,9.9,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬8로,,세종특별자치시 도담동 908,SJ00003,1,,N,36.51819862,127.2627741,5,5.3,16.8,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬8로,,세종특별자치시 도담동 908,SJ00004,1,,N,36.518137,127.2627741,2,5.3,8.5,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬6로,,세종특별자치시 도담동 922,SJ00005,1,,N,36.51606788,127.2622416,5,5.3,16.9,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬6로,,세종특별자치시 도담동 922,SJ00006,1,,N,36.516005,127.2622416,3,5.3,11.5,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬6로,,세종특별자치시 도담동 922,SJ00007,1,,N,36.516001,127.2622416,5,5.3,17.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,보듬6로,,세종특별자치시 도담동 922,SJ00008,1,,N,36.51606788,127.2622416,5,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,가름로,,세종특별자치시 종촌동 710,SJ00009,1,,N,36.499225,127.249509,9,5.3,29.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,가름로,,세종특별자치시 종촌동 710,SJ00010,1,,N,36.499255,127.249028,6,5.3,21.9,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,가름로,,세종특별자치시 종촌동 710,SJ00011,1,,N,36.499139,127.249013,9,5.3,29.6,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,가름로,,세종특별자치시 종촌동 710,SJ00012,1,,N,36.499139,127.249485,5,5.3,19.6,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,달빛로,,세종특별자치시 아름동 1458,SJ00013,1,,Y,36.51366991,127.2504673,2,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,달빛로,,세종특별자치시 아름동 1458,SJ00014,1,,Y,36.51366991,127.2504673,5,5.3,17,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,달빛1로,,세종특별자치시 아름동 1471,SJ00015,1,,Y,36.51519194,127.2456091,3,5.3,10.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,달빛1로,,세종특별자치시 아름동 1471,SJ00016,1,,N,36.51519194,127.2456091,2,5.3,9.7,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,달빛1로,,세종특별자치시 아름동 1471,SJ00017,1,,N,36.51519194,127.2456091,3,5.3,10.2,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,세종로,,세종특별자치시 고운동 1477,SJ00018,1,,N,36.50677504,127.2311792,5,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,세종로,,세종특별자치시 고운동 1477,SJ00019,1,,N,36.50677504,127.2311792,5,5.3,19.4,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,세종로,,세종특별자치시 고운동 1477,SJ00020,1,,N,36.50677504,127.2311792,5,5.3,18.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,마음로,,세종특별자치시 고운동 2057,SJ00021,1,,Y,36.51114178,127.2296487,4,5.3,13.5,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,나리로,,세종특별자치시 한솔동 1249,SJ00022,1,,N,36.478617,127.261494,5,5.3,23.1,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,나리로,,세종특별자치시 한솔동 1249,SJ00023,1,,N,36.478439,127.261494,2,5.3,11.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,누리로,,세종특별자치시 한솔동 1229,SJ00024,1,,N,36.475454,127.252495,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,누리로,,세종특별자치시 한솔동 1229,SJ00025,1,,N,36.475454,127.252693,2,5.3,11.8,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,누리로,,세종특별자치시 한솔동 1229,SJ00026,1,,Y,36.480068,127.252693,4,5.3,15.8,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,어울로,,세종특별자치시 한솔동 1227,SJ00027,1,,Y,36.480752,127.250608,7,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,어울로,,세종특별자치시 한솔동 1227,SJ00028,1,,Y,36.480706,127.250453,6,5.3,24.4,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,어울로,,세종특별자치시 한솔동 1227,SJ00029,1,,Y,36.480594,127.250461,4,5.3,18.7,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,어울로,,세종특별자치시 한솔동 1227,SJ00030,1,,Y,36.480594,127.250642,3,5.3,15.7,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,장기로,,세종특별자치시 장군면 봉안리 508,SJ00031,99,,Y,36.49888427,127.224557,6,5.3,26,Y,,,,,Y,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,장기로,,세종특별자치시 장군면 봉안리 508,SJ00032,99,,Y,36.49888427,127.224557,2,5.3,9,Y,,,,,Y,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,마음로,,세종특별자치시 고운동 1366,SJ00033,1,,N,36.51568465,127.2308396,3,5.3,13.3,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
세종특별자치시,없음,마음로,,세종특별자치시 고운동 1366,SJ00034,1,,N,36.51568465,127.2308396,6,5.3,16.6,Y,,,,,N,,N,,세종특별자치시,044-300-5534,2024-11-18
